scenario,letter,model,dimension,human,llm,diff,abs_diff,status,final
C_2024,C,deepseek,理解力,4,4,0,0,OK,4.0
C_2024,C,deepseek,具體性,5,5,0,0,OK,5.0
C_2024,C,deepseek,風險揭露,4,5,-1,1,OK,4.5
C_2024,C,deepseek,邏輯連貫性,3,4,-1,1,OK,3.5
C_2024,C,deepseek,時間污染指數,2,3,-1,1,OK,2.5
C_2024,C,deepseek,Q5_格式服從度,5,5,0,0,OK,5
C_2024,D,chatgpt,理解力,4,4,0,0,OK,4.0
C_2024,D,chatgpt,具體性,3,4,-1,1,OK,3.5
C_2024,D,chatgpt,風險揭露,3,3,0,0,OK,3.0
C_2024,D,chatgpt,邏輯連貫性,3,4,-1,1,OK,3.5
C_2024,D,chatgpt,時間污染指數,4,4,0,0,OK,4.0
C_2024,D,chatgpt,Q5_格式服從度,5,5,0,0,OK,5
C_2024,E,gemini,理解力,5,4,1,1,OK,4.5
C_2024,E,gemini,具體性,5,4,1,1,OK,4.5
C_2024,E,gemini,風險揭露,4,4,0,0,OK,4.0
C_2024,E,gemini,邏輯連貫性,5,4,1,1,OK,4.5
C_2024,E,gemini,時間污染指數,4,4,0,0,OK,4.0
C_2024,E,gemini,Q5_格式服從度,5,5,0,0,OK,5
